id,label,pagerank,degree,weighted degree,betweenness,modularity_class,eigencentrality,top names
Steffon-Varner,Steffon Varner,5.53E-04,1,3,0,7,4.88E-04,
Euron-Greyjoy,Euron Greyjoy,0.003151812,13,158,2526.461243,6,0.038403243,Euron
Farlen,Farlen,3.44E-04,1,6,0,6,0.016261803,
Florian-the-Fool,Florian the Fool,7.26E-04,2,11,794,9,0.027305542,
Jonquil,Jonquil,4.97E-04,1,8,0,9,0.0012441,
Murch,Murch,6.36E-04,1,5,0,6,4.53E-04,
Garlan-Tyrell,Garlan Tyrell,0.001168588,7,44,795.0872491,3,0.141320065,
Lollys-Stokeworth,Lollys Stokeworth,0.001071403,7,51,3.688762626,3,0.08174265,
Hake,Hake,3.30E-04,1,4,0,1,0.024617956,
Hallyne,Hallyne,4.26E-04,2,8,0,3,0.062598537,
Halys-Hornwood,Halys Hornwood,3.14E-04,1,3,0,5,0.013025093,
High-Septon-(Tyrions),High Septon (Tyrions),6.59E-04,4,24,0,3,0.107892567,
Hobber-Redwyne,Hobber Redwyne,4.93E-04,1,7,0,3,0.00126202,
Horas-Redwyne,Horas Redwyne,7.17E-04,2,10,794,3,0.028251121,
Mebble,Mebble,3.32E-04,1,4,0,4,0.002574125,
Tysha,Tysha,6.88E-04,4,24,4.744339106,3,0.098571586,
Jarman-Buckwell,Jarman Buckwell,6.22E-04,3,14,0,1,0.034783486,
Jason-Mallister,Jason Mallister,6.31E-04,3,12,20.53759695,5,0.042961973,
